iter	Passed	Remaining
0	8	827
1	20	985
2	31	1011
3	39	945
4	50	962
5	66	1035
6	84	1121
7	100	1158
8	110	1120
9	122	1104
10	134	1091
11	146	1071
12	154	1034
13	167	1029
14	178	1012
15	190	998
16	201	982
17	212	966
18	223	954
19	235	941
20	250	940
21	263	935
22	275	921
23	286	907
24	298	896
25	310	883
26	321	868
27	331	852
28	344	843
29	359	839
30	374	833
31	395	841
32	410	833
33	428	832
34	446	828
35	467	831
36	482	822
37	497	810
38	510	797
39	521	782
40	532	766
41	545	752
42	556	737
43	565	720
44	575	703
45	587	690
46	620	700
47	636	689
48	649	676
49	661	661
50	672	645
51	682	629
52	694	616
53	705	601
54	716	586
55	730	574
56	745	562
57	756	547
58	768	533
59	782	521
60	793	507
61	805	493
62	815	479
63	827	465
64	839	451
65	850	437
66	860	423
67	871	410
68	883	397
69	895	383
70	913	373
71	929	361
72	941	348
73	951	334
74	962	320
75	973	307
76	985	294
77	995	280
78	1005	267
79	1018	254
80	1030	241
81	1042	228
82	1053	215
83	1064	202
84	1076	189
85	1088	177
86	1100	164
87	1117	152
88	1127	139
89	1139	126
90	1150	113
91	1161	101
92	1171	88
93	1183	75
94	1194	62
95	1205	50
96	1216	37
97	1228	25
98	1240	12
99	1253	0
