iter	Logloss	Accuracy
0	0.6867163681	0.8283378747
1	0.6822096605	0.8160762943
2	0.6760864784	0.8160762943
3	0.6704483733	0.8215258856
4	0.6631071793	0.8215258856
5	0.6568614128	0.8215258856
6	0.6504722562	0.8297002725
7	0.6453489256	0.8215258856
8	0.639669508	0.8242506812
9	0.6336749299	0.8228882834
10	0.6284798021	0.8242506812
11	0.6233514413	0.8242506812
12	0.617771049	0.8242506812
13	0.6122667014	0.8242506812
14	0.606026339	0.825613079
15	0.6017301923	0.825613079
16	0.5963924828	0.825613079
17	0.5907356763	0.825613079
18	0.5860577532	0.825613079
19	0.5812413434	0.8269754768
20	0.5763231746	0.8283378747
21	0.571975799	0.8283378747
22	0.5669344667	0.8283378747
23	0.562797326	0.8283378747
24	0.5582684259	0.8310626703
25	0.5558563043	0.8269754768
26	0.5516070322	0.8269754768
27	0.5469212727	0.8269754768
28	0.5430715171	0.8269754768
29	0.5394733719	0.8269754768
30	0.5354145809	0.8283378747
31	0.5323045795	0.8310626703
32	0.5287843553	0.8310626703
33	0.5255017008	0.8310626703
34	0.522445471	0.8310626703
35	0.5184837109	0.8337874659
36	0.5148676577	0.8310626703
37	0.5112094276	0.8310626703
38	0.5079926611	0.8324250681
39	0.5045545581	0.8310626703
40	0.5020424939	0.8324250681
41	0.4986497588	0.8324250681
42	0.4960518236	0.8324250681
43	0.4929951346	0.8310626703
44	0.4897023259	0.8310626703
45	0.4868352881	0.8337874659
46	0.4835882414	0.8324250681
47	0.481362028	0.8324250681
48	0.4789092986	0.8324250681
49	0.4762682575	0.8337874659
50	0.4737927996	0.8337874659
51	0.471481137	0.8337874659
52	0.4687892136	0.8337874659
53	0.4667683195	0.8337874659
54	0.4641894568	0.8337874659
55	0.4624352209	0.8337874659
56	0.4605885012	0.8337874659
57	0.4581391332	0.8351498638
58	0.456665005	0.8365122616
59	0.4549065199	0.8351498638
60	0.4529661342	0.8351498638
61	0.4506250799	0.8378746594
62	0.4484546048	0.8365122616
63	0.446729081	0.840599455
64	0.4450451805	0.8419618529
65	0.4426940221	0.8419618529
66	0.4409448527	0.8433242507
67	0.4392975839	0.8433242507
68	0.4373581784	0.8446866485
69	0.4356638904	0.8460490463
70	0.4340454049	0.8446866485
71	0.4323202539	0.8446866485
72	0.4308915269	0.8446866485
73	0.4292927666	0.8446866485
74	0.4276404394	0.8460490463
75	0.4260678954	0.848773842
76	0.4249278816	0.8460490463
77	0.4232444197	0.8446866485
78	0.4218463066	0.8446866485
79	0.4207033837	0.8474114441
80	0.4190140563	0.8542234332
81	0.4172242007	0.8542234332
82	0.4162524808	0.8514986376
83	0.4145249769	0.8514986376
84	0.4132935303	0.8528610354
85	0.4122163253	0.8528610354
86	0.4106426475	0.8542234332
87	0.4092249235	0.8542234332
88	0.4079401541	0.8542234332
89	0.4068479839	0.8542234332
90	0.4063372005	0.8555858311
91	0.4051602029	0.8542234332
92	0.404125035	0.8542234332
93	0.403205473	0.8542234332
94	0.4019224091	0.8555858311
95	0.4007494063	0.8583106267
96	0.399627196	0.8583106267
97	0.3988712519	0.8583106267
98	0.3981790343	0.8583106267
99	0.3969814783	0.8583106267
100	0.3958559629	0.8583106267
101	0.3947311341	0.8583106267
102	0.3936925784	0.8583106267
103	0.3924693528	0.8583106267
104	0.3914879733	0.8583106267
105	0.3902048234	0.8583106267
106	0.3893406561	0.8583106267
107	0.3882743689	0.8583106267
108	0.3874106605	0.8596730245
109	0.3865449544	0.8583106267
110	0.3855196159	0.8583106267
111	0.3844392376	0.8596730245
112	0.3839158219	0.8596730245
113	0.3829482283	0.8610354223
114	0.3825344354	0.8610354223
115	0.3816423473	0.8596730245
116	0.3806992436	0.8596730245
117	0.3799048487	0.8596730245
118	0.3788145221	0.8610354223
