iter	Passed	Remaining
0	21	4221
1	45	4541
2	89	5859
3	114	5619
4	146	5703
5	180	5826
6	201	5554
7	222	5340
8	240	5113
9	257	4901
10	273	4706
11	297	4666
12	326	4700
13	346	4602
14	365	4502
15	388	4465
16	412	4439
17	429	4345
18	457	4358
19	479	4311
20	502	4284
21	527	4266
22	547	4211
23	571	4189
24	593	4155
25	610	4087
26	639	4095
27	666	4096
28	690	4069
29	711	4033
30	730	3984
31	749	3933
32	769	3892
33	793	3871
34	825	3890
35	846	3854
36	864	3807
37	885	3774
38	905	3737
39	924	3696
40	943	3657
41	964	3627
42	981	3583
43	994	3526
44	1006	3467
45	1020	3416
46	1033	3365
47	1053	3336
48	1072	3303
49	1121	3363
50	1144	3342
51	1159	3301
52	1175	3260
53	1192	3225
54	1210	3191
55	1227	3156
56	1243	3119
57	1260	3086
58	1280	3059
59	1300	3035
60	1321	3011
61	1338	2979
62	1354	2945
63	1372	2916
64	1390	2887
65	1407	2858
66	1423	2825
67	1438	2792
68	1454	2761
69	1480	2750
70	1495	2717
71	1510	2685
72	1525	2654
73	1540	2622
74	1555	2592
75	1570	2562
76	1587	2535
77	1603	2508
78	1620	2481
79	1643	2464
80	1674	2460
81	1705	2453
82	1725	2432
83	1748	2414
84	1771	2397
85	1801	2387
86	1821	2366
87	1853	2358
88	1878	2343
89	1898	2320
90	1917	2296
91	1935	2272
92	1953	2247
93	1972	2223
94	1990	2199
95	2013	2181
96	2040	2166
97	2064	2148
98	2098	2140
99	2120	2120
100	2141	2098
101	2161	2076
102	2183	2056
103	2205	2035
104	2228	2016
105	2246	1992
106	2266	1969
107	2283	1945
108	2301	1921
109	2320	1898
110	2338	1874
111	2362	1856
112	2376	1829
113	2392	1805
114	2410	1781
115	2436	1764
116	2458	1744
117	2482	1725
118	2502	1703
119	2516	1677
120	2530	1652
121	2545	1627
122	2561	1603
123	2575	1578
124	2590	1554
125	2606	1530
126	2623	1508
127	2641	1486
128	2656	1461
129	2672	1438
130	2687	1415
131	2702	1392
132	2719	1369
133	2736	1348
134	2755	1326
135	2772	1304
136	2789	1282
137	2805	1260
138	2821	1238
139	2837	1216
140	2853	1194
141	2868	1171
142	2884	1149
143	2901	1128
144	2918	1106
145	2934	1085
146	2951	1064
147	2968	1042
148	2983	1021
149	3000	1000
150	3016	978
151	3032	957
152	3048	936
153	3063	915
154	3077	893
155	3092	872
156	3108	851
157	3123	830
158	3138	809
159	3153	788
160	3165	766
161	3181	746
162	3200	726
163	3215	705
164	3233	685
165	3247	665
166	3263	644
167	3275	623
168	3291	603
169	3308	583
170	3323	563
171	3341	544
172	3358	524
173	3374	504
174	3389	484
175	3404	464
176	3419	444
177	3435	424
178	3449	404
179	3464	384
180	3478	365
181	3492	345
182	3508	325
183	3523	306
184	3538	286
185	3555	267
186	3573	248
187	3591	229
188	3608	210
189	3624	190
190	3640	171
191	3654	152
192	3668	133
193	3683	113
194	3698	94
195	3712	75
196	3726	56
197	3745	37
198	3762	18
199	3778	0
